date,D05.SI,J36.SI,O39.SI,Z74.SI,U11.SI,J37.SI,C07.SI,V03.SI,C6L.SI,U14.SI
2016-05-10,11.965928077697754,48.94556427001953,6.943502902984619,3.0379555225372314,15.370322227478027,28.019237518310547,28.333999633789062,6.787685871124268,10.210688591003418,5.027113914489746
2016-05-11,11.860818862915039,47.432701110839844,6.968600273132324,3.0458872318267822,15.222947120666504,27.202211380004883,28.04554557800293,6.746696949005127,10.489814758300781,5.000373840332031
2016-05-12,12.022520065307617,47.45940399169922,6.968600273132324,3.085547685623169,15.2923002243042,27.346391677856445,28.037179946899414,6.705708980560303,10.471808433532715,5.053853988647461
2016-05-13,12.071032524108887,48.358219146728516,6.97696590423584,3.07761549949646,15.404999732971191,27.49057388305664,26.81562614440918,6.68111515045166,9.904546737670898,5.080593585968018
2016-05-16,12.071032524108887,47.948856353759766,6.9351372718811035,3.069683074951172,15.248957633972168,27.452129364013672,26.96622657775879,6.68931245803833,9.724464416503906,5.000373840332031
2016-05-17,12.208477973937988,48.0556526184082,7.0773539543151855,3.0934793949127197,15.569711685180664,27.682815551757812,28.20451545715332,6.68931245803833,9.571393966674805,5.1340742111206055
2016-05-18,12.184222221374512,48.634098052978516,7.06898832321167,3.069683074951172,15.578381538391113,27.817384719848633,27.727603912353516,6.697510719299316,9.68844985961914,5.098420143127441
2016-05-19,12.135711669921875,47.85986328125,7.043890953063965,3.0220911502838135,15.387661933898926,27.721263885498047,26.941129684448242,6.763092517852783,9.553385734558105,5.000373840332031
2016-05-20,12.232732772827148,47.761966705322266,7.06898832321167,3.0458872318267822,15.552372932434082,27.346391677856445,27.033161163330078,6.771290302276611,9.544382095336914,5.098420143127441
2016-05-23,12.29741382598877,47.5928840637207,7.0940842628479,3.069683074951172,15.63906478881836,27.346391677856445,27.024791717529297,6.779487609863281,9.490358352661133,5.018200874328613
2016-05-24,12.256986618041992,47.521697998046875,7.027159690856934,3.0220911502838135,15.526366233825684,27.519407272338867,26.857460021972656,6.795883655548096,9.454340934753418,4.991460800170898
2016-05-25,12.378266334533691,48.13573455810547,7.085720539093018,3.0300235748291016,15.630396842956543,27.769323348999023,27.443134307861328,6.8860578536987305,9.60741138458252,5.04494047164917
2016-05-26,12.38634967803955,48.3048210144043,7.110816955566406,3.061751127243042,15.647734642028809,27.865446090698242,28.1208438873291,6.877860069274902,9.508367538452148,5.080593585968018
2016-05-27,12.564220428466797,49.390525817871094,7.161010265350342,3.1172757148742676,15.7864408493042,28.173030853271484,28.154314041137695,6.918848514556885,9.562389373779297,5.06276798248291
2016-05-30,12.572305679321289,49.83548355102539,7.152645111083984,3.0934793949127197,15.7864408493042,28.346052169799805,28.447154998779297,6.918848514556885,9.517370223999023,5.071680545806885
2016-05-31,12.531881332397461,50.725406646728516,7.211204528808594,3.069683074951172,15.795111656188965,28.54790496826172,28.279809951782227,6.820476531982422,9.616414070129395,5.06276798248291
2016-06-01,12.531881332397461,50.41393280029297,7.169375896453857,3.085547685623169,15.847125053405762,28.16341781616211,27.61046600341797,6.763092517852783,9.616414070129395,5.053853988647461
2016-06-02,12.523797035217285,49.70199203491211,7.194473743438721,3.085547685623169,15.847125053405762,28.346052169799805,27.577003479003906,6.83687162399292,9.49936294555664,4.991460800170898
2016-06-03,12.531881332397461,48.90106964111328,7.25303316116333,3.0934793949127197,15.864459991455078,27.87505340576172,27.861474990844727,6.877860069274902,9.589402198791504,5.018200874328613
2016-06-06,12.693583488464355,49.29262924194336,7.328324317932129,3.133139133453369,16.185222625732422,27.92311668395996,28.30491828918457,6.861464977264404,9.589402198791504,5.009287357330322
2016-06-07,12.766349792480469,50.17365264892578,7.378517150878906,3.133139133453369,16.323925018310547,28.538291931152344,29.074663162231445,6.894255638122559,9.517370223999023,5.009287357330322
2016-06-08,12.879539489746094,49.37272262573242,7.395249366760254,3.1410715579986572,16.453960418701172,28.16341781616211,28.82366371154785,6.8450703620910645,9.535377502441406,5.018200874328613
2016-06-09,12.85528564453125,49.3193359375,7.3115925788879395,3.133139133453369,16.24590301513672,28.20186996459961,28.664690017700195,6.918848514556885,9.544382095336914,5.000373840332031
2016-06-10,12.847199440002441,49.83548355102539,7.25303316116333,3.0934793949127197,16.133207321166992,28.115360260009766,27.844741821289062,6.894255638122559,9.517370223999023,4.955807209014893
2016-06-13,12.66124153137207,49.390525817871094,7.0773539543151855,3.061751127243042,15.864459991455078,27.788545608520508,27.735973358154297,6.8122782707214355,9.526374816894531,4.875586986541748
2016-06-14,12.645071983337402,48.545101165771484,7.052257061004639,3.0141594409942627,15.699750900268555,27.740488052368164,27.47660255432129,6.9024529457092285,9.49936294555664,4.866673946380615
2016-06-15,12.734009742736816,48.60739517211914,7.06898832321167,3.0220911502838135,15.725757598876953,27.53863525390625,27.869844436645508,6.927046298980713,9.472349166870117,4.839934349060059
2016-06-16,12.620817184448242,48.94556427001953,6.9853315353393555,2.9982950687408447,15.561046600341797,27.88467025756836,27.14192771911621,6.910650730133057,9.454340934753418,4.813194751739502
2016-06-17,12.61273193359375,49.265933990478516,6.993697166442871,3.006227493286133,15.53503704071045,28.115360260009766,27.024791717529297,7.115592956542969,9.508367538452148,4.839934349060059
2016-06-20,12.895710945129395,49.390525817871094,7.161010265350342,3.053818941116333,15.847125053405762,27.91350555419922,27.49333953857422,7.025417804718018,9.544382095336914,4.866673946380615
2016-06-21,12.960391998291016,49.82658386230469,7.152645111083984,3.0458872318267822,15.812446594238281,28.019237518310547,27.526805877685547,7.025417804718018,9.490358352661133,4.857760906219482
2016-06-22,12.928051948547363,50.040164947509766,7.135914325714111,3.053818941116333,15.760431289672852,28.21147918701172,27.710872650146484,6.918848514556885,9.508367538452148,4.866673946380615
2016-06-23,12.88762378692627,49.80878829956055,7.177741050720215,3.069683074951172,15.838456153869629,28.115360260009766,28.062280654907227,6.927046298980713,9.49936294555664,4.848846912384033
2016-06-24,12.53996753692627,48.3226203918457,7.010427474975586,3.0300235748291016,15.474350929260254,27.87505340576172,27.526805877685547,7.074604511260986,9.364297866821289,4.732974529266357
2016-06-27,12.337839126586914,48.562904357910156,6.97696590423584,3.085547685623169,15.26629638671875,27.769323348999023,27.27579689025879,6.869662284851074,9.364297866821289,4.688406944274902
2016-06-28,12.370180130004883,50.41393280029297,7.018794536590576,3.1648671627044678,15.33564567565918,28.25954246520996,28.028812408447266,6.828673362731934,9.382308006286621,4.732974529266357
